Área;Año;Sustancia;Casos;Tasa_ajustada
San Cristóbal;2015;Todas las sustancias;271;70,9
Usme;2015;Todas las sustancias;249;70,43
Tunjuelito;2015;Todas las sustancias;121;71,01
Bosa;2015;Todas las sustancias;440;65,53
Kennedy;2015;Todas las sustancias;30;3
Fontibón;2015;Todas las sustancias;705;197,82
Engativá;2015;Todas las sustancias;367;46,85
Suba;2015;Todas las sustancias;808;72,12
Barrios Unidos;2015;Todas las sustancias;138;99,82
Teusaquillo;2015;Todas las sustancias;154;108,26
Los Mártires;2015;Todas las sustancias;148;200,04
Antonio Nariño;2015;Todas las sustancias;117;144,42
Puente Aranda;2015;Todas las sustancias;177;73,54
Candelaria;2015;Todas las sustancias;169;977,44
Rafael Uribe Uribe;2015;Todas las sustancias;238;65,94
Ciudad Bolívar;2015;Todas las sustancias;642;106,69
Sumapaz;2015;Todas las sustancias;5;155,09
Distrito;2015;Todas las sustancias;5.716;78,59
Usaquén;2016;Medicamentos;159;30,31
Chapinero;2016;Medicamentos;53;34,59
Santa Fe;2016;Medicamentos;35;34,15
San Cristóbal;2016;Medicamentos;77;20,15
Usme;2016;Medicamentos;82;23,03
Tunjuelito;2016;Medicamentos;32;18,8
Bosa;2016;Medicamentos;121;17,85
Kennedy;2016;Medicamentos;273;27,16
Fontibón;2016;Medicamentos;157;43,76
Engativá;2016;Medicamentos;251;32,01
Suba;2016;Medicamentos;253;22,41
Barrios Unidos;2016;Medicamentos;46;33,89
Teusaquillo;2016;Medicamentos;56;39,26
Los Mártires;2016;Medicamentos;39;53,1
Antonio Nariño;2016;Medicamentos;34;42,49
Puente Aranda;2016;Medicamentos;76;31,58
Candelaria;2016;Medicamentos;7;40,84
Rafael Uribe Uribe;2016;Medicamentos;84;23,27
Ciudad Bolívar;2016;Medicamentos;118;19,54
Sumapaz;2016;Medicamentos;0;0
Distrito;2016;Medicamentos;1.953;26,75
Usaquén;2016;Psicoactivas;131;24,97
Chapinero;2016;Psicoactivas;44;28,72
Santa Fe;2016;Psicoactivas;23;22,44
San Cristóbal;2016;Psicoactivas;52;13,61
Usme;2016;Psicoactivas;46;12,92
Tunjuelito;2016;Psicoactivas;27;15,86
Bosa;2016;Psicoactivas;82;12,1
Kennedy;2016;Psicoactivas;161;16,02
Fontibón;2016;Psicoactivas;85;23,69
Engativá;2016;Psicoactivas;191;24,36
Suba;2016;Psicoactivas;218;19,31
Barrios Unidos;2016;Psicoactivas;46;33,89
Teusaquillo;2016;Psicoactivas;93;65,2
Los Mártires;2016;Psicoactivas;26;35,4
Antonio Nariño;2016;Psicoactivas;22;27,5
Puente Aranda;2016;Psicoactivas;41;17,04
Candelaria;2016;Psicoactivas;6;35
Rafael Uribe Uribe;2016;Psicoactivas;34;9,42
Ciudad Bolívar;2016;Psicoactivas;63;10,43
Sumapaz;2016;Psicoactivas;0;0
Distrito;2016;Psicoactivas;1.391;19,05
Usaquén;2016;Otras sustancias químicas;54;10,29
Chapinero;2016;Otras sustancias químicas;22;14,36
Santa Fe;2016;Otras sustancias químicas;14;13,66
San Cristóbal;2016;Otras sustancias químicas;45;11,78
Usme;2016;Otras sustancias químicas;36;10,11
Tunjuelito;2016;Otras sustancias químicas;23;13,51
Bosa;2016;Otras sustancias químicas;39;5,75
Kennedy;2016;Otras sustancias químicas;90;8,96
Fontibón;2016;Otras sustancias químicas;49;13,66
Engativá;2016;Otras sustancias químicas;87;11,1
Suba;2016;Otras sustancias químicas;105;9,3
Barrios Unidos;2016;Otras sustancias químicas;12;8,84
Teusaquillo;2016;Otras sustancias químicas;20;14,02
Los Mártires;2016;Otras sustancias químicas;9;12,25
Antonio Nariño;2016;Otras sustancias químicas;14;17,5
Puente Aranda;2016;Otras sustancias químicas;21;8,73
Candelaria;2016;Otras sustancias químicas;6;35
Rafael Uribe Uribe;2016;Otras sustancias químicas;34;9,42
Ciudad Bolívar;2016;Otras sustancias químicas;49;8,11
Sumapaz;2016;Otras sustancias químicas;0;0
Distrito;2016;Otras sustancias químicas;729;9,99
Usaquén;2016;Plaguicidas;13;2,48
Chapinero;2016;Plaguicidas;9;5,87
Santa Fe;2016;Plaguicidas;7;6,83
San Cristóbal;2016;Plaguicidas;23;6,02
Usme;2016;Plaguicidas;31;8,71
Tunjuelito;2016;Plaguicidas;4;2,35
Bosa;2016;Plaguicidas;55;8,11
Kennedy;2016;Plaguicidas;54;5,37
Fontibón;2016;Plaguicidas;33;9,2
Engativá;2016;Plaguicidas;48;6,12
Suba;2016;Plaguicidas;44;3,9
Barrios Unidos;2016;Plaguicidas;7;5,16
Teusaquillo;2016;Plaguicidas;7;4,91
Los Mártires;2016;Plaguicidas;6;8,17
Antonio Nariño;2016;Plaguicidas;7;8,75
Puente Aranda;2016;Plaguicidas;13;5,4
Candelaria;2016;Plaguicidas;1;5,83
Rafael Uribe Uribe;2016;Plaguicidas;18;4,99
Ciudad Bolívar;2016;Plaguicidas;41;6,79
Sumapaz;2016;Plaguicidas;2;63,17
Distrito;2016;Plaguicidas;423;5,79
Usaquén;2016;Solventes;9;1,72
Chapinero;2016;Solventes;5;3,26
Santa Fe;2016;Solventes;5;4,88
San Cristóbal;2016;Solventes;5;1,31
Usme;2016;Solventes;6;1,69
Tunjuelito;2016;Solventes;1;0,59
Bosa;2016;Solventes;20;2,95
Kennedy;2016;Solventes;26;2,59
Fontibón;2016;Solventes;35;9,75
Engativá;2016;Solventes;19;2,42
Suba;2016;Solventes;9;0,8
Barrios Unidos;2016;Solventes;6;4,42
Teusaquillo;2016;Solventes;5;3,51
Los Mártires;2016;Solventes;2;2,72
Antonio Nariño;2016;Solventes;2;2,5
Puente Aranda;2016;Solventes;10;4,16
Candelaria;2016;Solventes;0;0
Rafael Uribe Uribe;2016;Solventes;8;2,22
Ciudad Bolívar;2016;Solventes;13;2,15
Sumapaz;2016;Solventes;0;0
Distrito;2016;Solventes;186;2,55
Usaquén;2016;Metales pesados;1;0,19
Chapinero;2016;Metales pesados;0;0
Santa Fe;2016;Metales pesados;0;0
San Cristóbal;2016;Metales pesados;2;0,52
Usme;2016;Metales pesados;0;0
Tunjuelito;2016;Metales pesados;2;1,17
Bosa;2016;Metales pesados;5;0,74
Kennedy;2016;Metales pesados;1;0,1
Fontibón;2016;Metales pesados;2;0,56
Engativá;2016;Metales pesados;2;0,26
Suba;2016;Metales pesados;4;0,35
Barrios Unidos;2016;Metales pesados;5;3,68
Teusaquillo;2016;Metales pesados;0;0
Los Mártires;2016;Metales pesados;0;0
Antonio Nariño;2016;Metales pesados;1;1,25
Puente Aranda;2016;Metales pesados;0;0
Candelaria;2016;Metales pesados;0;0
Rafael Uribe Uribe;2016;Metales pesados;0;0
Ciudad Bolívar;2016;Metales pesados;1;0,17
Sumapaz;2016;Metales pesados;0;0
Distrito;2016;Metales pesados;26;0,36
Usaquén;2016;Gases;21;4
Chapinero;2016;Gases;8;5,22
Santa Fe;2016;Gases;33;32,2
San Cristóbal;2016;Gases;6;1,57
Usme;2016;Gases;8;2,25
Tunjuelito;2016;Gases;2;1,17
Bosa;2016;Gases;15;2,21
Kennedy;2016;Gases;21;2,09
Fontibón;2016;Gases;16;4,46
Engativá;2016;Gases;26;3,32
Suba;2016;Gases;50;4,43
Barrios Unidos;2016;Gases;2;1,47
Teusaquillo;2016;Gases;3;2,1
Los Mártires;2016;Gases;1;1,36
Antonio Nariño;2016;Gases;4;5
Puente Aranda;2016;Gases;5;2,08
Candelaria;2016;Gases;1;5,83
Rafael Uribe Uribe;2016;Gases;2;0,55
Ciudad Bolívar;2016;Gases;4;0,66
Sumapaz;2016;Gases;0;0
Distrito;2016;Gases;228;3,12
Usaquén;2016;Metanol;0;0
Chapinero;2016;Metanol;0;0
Santa Fe;2016;Metanol;0;0
San Cristóbal;2016;Metanol;0;0
Usme;2016;Metanol;0;0
Tunjuelito;2016;Metanol;1;0,59
Bosa;2016;Metanol;0;0
Kennedy;2016;Metanol;5;0,5
Fontibón;2016;Metanol;2;0,56
Engativá;2016;Metanol;0;0
Suba;2016;Metanol;2;0,18
Barrios Unidos;2016;Metanol;2;1,47
Teusaquillo;2016;Metanol;0;0
Los Mártires;2016;Metanol;0;0
Antonio Nariño;2016;Metanol;1;1,25
Puente Aranda;2016;Metanol;0;0
Candelaria;2016;Metanol;0;0
Rafael Uribe Uribe;2016;Metanol;3;0,83
Ciudad Bolívar;2016;Metanol;0;0
Sumapaz;2016;Metanol;0;0
Distrito;2016;Metanol;16;0,22
Usaquén;2016;Todas las sustancias;455;86,74
Chapinero;2016;Todas las sustancias;173;112,92
Santa Fe;2016;Todas las sustancias;121;118,07
San Cristóbal;2016;Todas las sustancias;237;62,03
Usme;2016;Todas las sustancias;236;66,28
Tunjuelito;2016;Todas las sustancias;116;68,14
Bosa;2016;Todas las sustancias;386;56,94
Kennedy;2016;Todas las sustancias;693;68,96
Fontibón;2016;Todas las sustancias;446;124,3
Engativá;2016;Todas las sustancias;682;86,98
Suba;2016;Todas las sustancias;774;68,57
Barrios Unidos;2016;Todas las sustancias;132;97,25
Teusaquillo;2016;Todas las sustancias;201;140,92
Los Mártires;2016;Todas las sustancias;92;125,27
Antonio Nariño;2016;Todas las sustancias;92;114,98
Puente Aranda;2016;Todas las sustancias;188;78,11
Candelaria;2016;Todas las sustancias;25;145,85
Rafael Uribe Uribe;2016;Todas las sustancias;200;55,4
Ciudad Bolívar;2016;Todas las sustancias;315;52,16
Sumapaz;2016;Todas las sustancias;2;63,17
Distrito;2016;Todas las sustancias;5.566;76,24
Usaquén;2017;Medicamentos;207;39,14
Chapinero;2017;Medicamentos;65;42,07
Santa Fe;2017;Medicamentos;46;44,67
San Cristóbal;2017;Medicamentos;113;29,53
Usme;2017;Medicamentos;103;28,71
Tunjuelito;2017;Medicamentos;46;26,99
Bosa;2017;Medicamentos;211;30,82
Kennedy;2017;Medicamentos;330;32,68
Fontibón;2017;Medicamentos;145;40,11
Engativá;2017;Medicamentos;273;34,73
Suba;2017;Medicamentos;386;33,92
Barrios Unidos;2017;Medicamentos;50;37,34
Teusaquillo;2017;Medicamentos;64;44,69
Los Mártires;2017;Medicamentos;35;47,87
Antonio Nariño;2017;Medicamentos;40;50,42
Puente Aranda;2017;Medicamentos;82;34,01
Candelaria;2017;Medicamentos;5;29,33
Rafael Uribe Uribe;2017;Medicamentos;99;27,37
Ciudad Bolívar;2017;Medicamentos;151;24,88
Sumapaz;2017;Medicamentos;1;31,88
Distrito;2017;Medicamentos;2.452;33,42
Usaquén;2017;Psicoactivas;207;39,14
Chapinero;2017;Psicoactivas;74;47,89
Santa Fe;2017;Psicoactivas;29;28,16
San Cristóbal;2017;Psicoactivas;72;18,81
Usme;2017;Psicoactivas;34;9,48
Tunjuelito;2017;Psicoactivas;27;15,84
Bosa;2017;Psicoactivas;97;14,17
Kennedy;2017;Psicoactivas;186;18,42
Fontibón;2017;Psicoactivas;103;28,49
Engativá;2017;Psicoactivas;153;19,46
Suba;2017;Psicoactivas;349;30,67
Barrios Unidos;2017;Psicoactivas;47;35,1
Teusaquillo;2017;Psicoactivas;91;63,54
Los Mártires;2017;Psicoactivas;21;28,72
Antonio Nariño;2017;Psicoactivas;15;18,91
Puente Aranda;2017;Psicoactivas;46;19,08
Candelaria;2017;Psicoactivas;5;29,33
Rafael Uribe Uribe;2017;Psicoactivas;50;13,82
Ciudad Bolívar;2017;Psicoactivas;67;11,04
Sumapaz;2017;Psicoactivas;0;0
Distrito;2017;Psicoactivas;1.673;22,8
Usaquén;2017;Otras sustancias químicas;41;7,75
Chapinero;2017;Otras sustancias químicas;17;11
Santa Fe;2017;Otras sustancias químicas;8;7,77
San Cristóbal;2017;Otras sustancias químicas;26;6,79
Usme;2017;Otras sustancias químicas;36;10,03
Tunjuelito;2017;Otras sustancias químicas;20;11,73
Bosa;2017;Otras sustancias químicas;63;9,2
Kennedy;2017;Otras sustancias químicas;84;8,32
Fontibón;2017;Otras sustancias químicas;45;12,45
Engativá;2017;Otras sustancias químicas;60;7,63
Suba;2017;Otras sustancias químicas;85;7,47
Barrios Unidos;2017;Otras sustancias químicas;8;5,98
Teusaquillo;2017;Otras sustancias químicas;13;9,08
Los Mártires;2017;Otras sustancias químicas;4;5,47
Antonio Nariño;2017;Otras sustancias químicas;9;11,34
Puente Aranda;2017;Otras sustancias químicas;16;6,64
Candelaria;2017;Otras sustancias químicas;3;17,6
Rafael Uribe Uribe;2017;Otras sustancias químicas;31;8,57
Ciudad Bolívar;2017;Otras sustancias químicas;47;7,75
Sumapaz;2017;Otras sustancias químicas;0;0
Distrito;2017;Otras sustancias químicas;616;8,4
Usaquén;2017;Plaguicidas;13;2,46
Chapinero;2017;Plaguicidas;4;2,59
Santa Fe;2017;Plaguicidas;10;9,71
San Cristóbal;2017;Plaguicidas;28;7,32
Usme;2017;Plaguicidas;26;7,25
Tunjuelito;2017;Plaguicidas;4;2,35
Bosa;2017;Plaguicidas;38;5,55
Kennedy;2017;Plaguicidas;65;6,44
Fontibón;2017;Plaguicidas;10;2,77
Engativá;2017;Plaguicidas;38;4,83
Suba;2017;Plaguicidas;41;3,6
Barrios Unidos;2017;Plaguicidas;5;3,73
Teusaquillo;2017;Plaguicidas;8;5,59
Los Mártires;2017;Plaguicidas;7;9,57
Antonio Nariño;2017;Plaguicidas;15;18,91
Puente Aranda;2017;Plaguicidas;12;4,98
Candelaria;2017;Plaguicidas;1;5,87
Rafael Uribe Uribe;2017;Plaguicidas;19;5,25
Ciudad Bolívar;2017;Plaguicidas;52;8,57
Sumapaz;2017;Plaguicidas;1;31,88
Distrito;2017;Plaguicidas;397;5,41
Usaquén;2017;Solventes;11;2,08
Chapinero;2017;Solventes;5;3,24
Santa Fe;2017;Solventes;2;1,94
San Cristóbal;2017;Solventes;10;2,61
Usme;2017;Solventes;11;3,07
Tunjuelito;2017;Solventes;1;0,59
Bosa;2017;Solventes;20;2,92
Kennedy;2017;Solventes;21;2,08
Fontibón;2017;Solventes;7;1,94
Engativá;2017;Solventes;21;2,67
Suba;2017;Solventes;18;1,58
Barrios Unidos;2017;Solventes;11;8,22
Teusaquillo;2017;Solventes;3;2,09
Los Mártires;2017;Solventes;1;1,37
Antonio Nariño;2017;Solventes;1;1,26
Puente Aranda;2017;Solventes;6;2,49
Candelaria;2017;Solventes;1;5,87
Rafael Uribe Uribe;2017;Solventes;5;1,38
Ciudad Bolívar;2017;Solventes;13;2,14
Sumapaz;2017;Solventes;0;0
Distrito;2017;Solventes;168;2,29
Usaquén;2017;Metales pesados;2;0,38
Chapinero;2017;Metales pesados;0;0
Santa Fe;2017;Metales pesados;0;0
San Cristóbal;2017;Metales pesados;0;0
Usme;2017;Metales pesados;0;0
Tunjuelito;2017;Metales pesados;0;0
Bosa;2017;Metales pesados;2;0,29
Kennedy;2017;Metales pesados;1;0,1
Fontibón;2017;Metales pesados;2;0,55
Engativá;2017;Metales pesados;1;0,13
Suba;2017;Metales pesados;5;0,44
Barrios Unidos;2017;Metales pesados;1;0,75
Teusaquillo;2017;Metales pesados;0;0
Los Mártires;2017;Metales pesados;0;0
Antonio Nariño;2017;Metales pesados;0;0
Puente Aranda;2017;Metales pesados;0;0
Candelaria;2017;Metales pesados;0;0
Rafael Uribe Uribe;2017;Metales pesados;0;0
Ciudad Bolívar;2017;Metales pesados;1;0,16
Sumapaz;2017;Metales pesados;0;0
Distrito;2017;Metales pesados;15;0,2
Usaquén;2017;Gases;25;4,73
Chapinero;2017;Gases;10;6,47
Santa Fe;2017;Gases;11;10,68
San Cristóbal;2017;Gases;14;3,66
Usme;2017;Gases;5;1,39
Tunjuelito;2017;Gases;16;9,39
Bosa;2017;Gases;26;3,8
Kennedy;2017;Gases;45;4,46
Fontibón;2017;Gases;21;5,81
Engativá;2017;Gases;39;4,96
Suba;2017;Gases;48;4,22
Barrios Unidos;2017;Gases;2;1,49
Teusaquillo;2017;Gases;9;6,28
Los Mártires;2017;Gases;6;8,21
Antonio Nariño;2017;Gases;2;2,52
Puente Aranda;2017;Gases;10;4,15
Candelaria;2017;Gases;0;0
Rafael Uribe Uribe;2017;Gases;6;1,66
Ciudad Bolívar;2017;Gases;51;8,4
Sumapaz;2017;Gases;0;0
Distrito;2017;Gases;346;4,72
Usaquén;2017;Metanol;0;0
Chapinero;2017;Metanol;0;0
Santa Fe;2017;Metanol;0;0
San Cristóbal;2017;Metanol;0;0
Usme;2017;Metanol;0;0
Tunjuelito;2017;Metanol;0;0
Bosa;2017;Metanol;0;0
Kennedy;2017;Metanol;2;0,2
Fontibón;2017;Metanol;0;0
Engativá;2017;Metanol;0;0
Suba;2017;Metanol;3;0,26
Barrios Unidos;2017;Metanol;0;0
Teusaquillo;2017;Metanol;0;0
Los Mártires;2017;Metanol;0;0
Antonio Nariño;2017;Metanol;0;0
Puente Aranda;2017;Metanol;0;0
Candelaria;2017;Metanol;0;0
Rafael Uribe Uribe;2017;Metanol;0;0
Ciudad Bolívar;2017;Metanol;1;0,16
Sumapaz;2017;Metanol;0;0
Distrito;2017;Metanol;6;0,08
Usaquén;2017;Todas las sustancias;506;95,67
Chapinero;2017;Todas las sustancias;383;247,89
Santa Fe;2017;Todas las sustancias;106;102,93
San Cristóbal;2017;Todas las sustancias;263;68,72
Usme;2017;Todas las sustancias;215;59,92
Tunjuelito;2017;Todas las sustancias;114;66,89
Bosa;2017;Todas las sustancias;457;66,76
Kennedy;2017;Todas las sustancias;15;1,49
Fontibón;2017;Todas las sustancias;734;203,06
Engativá;2017;Todas las sustancias;333;42,36
Suba;2017;Todas las sustancias;935;82,17
Barrios Unidos;2017;Todas las sustancias;124;92,61
Teusaquillo;2017;Todas las sustancias;188;131,27
Los Mártires;2017;Todas las sustancias;74;101,21
Antonio Nariño;2017;Todas las sustancias;82;103,36
Puente Aranda;2017;Todas las sustancias;172;71,34
Candelaria;2017;Todas las sustancias;175;1026,45
Rafael Uribe Uribe;2017;Todas las sustancias;210;58,06
Ciudad Bolívar;2017;Todas las sustancias;585;96,41
Sumapaz;2017;Todas las sustancias;2;63,76
Distrito;2017;Todas las sustancias;5.673;77,32
Usaquén;2018;Medicamentos;92;17,17
Chapinero;2018;Medicamentos;32;20,45
Santa Fe;2018;Medicamentos;13;12,5
San Cristóbal;2018;Medicamentos;43;11,15
Usme;2018;Medicamentos;26;7,15
Tunjuelito;2018;Medicamentos;13;7,57
Bosa;2018;Medicamentos;50;7,2
Kennedy;2018;Medicamentos;111;10,89
Fontibón;2018;Medicamentos;53;14,49
Engativá;2018;Medicamentos;106;13,38
Suba;2018;Medicamentos;188;16,31
Barrios Unidos;2018;Medicamentos;17;12,77
Teusaquillo;2018;Medicamentos;34;23,53
Los Mártires;2018;Medicamentos;11;15,01
Antonio Nariño;2018;Medicamentos;12;15,15
Puente Aranda;2018;Medicamentos;43;17,7
Candelaria;2018;Medicamentos;5;29,28
Rafael Uribe Uribe;2018;Medicamentos;45;12,34
Ciudad Bolívar;2018;Medicamentos;48;7,83
Sumapaz;2018;Medicamentos;0;0
Distrito;2018;Medicamentos;942;12,71
Usaquén;2018;Psicoactivas;149;27,81
Chapinero;2018;Psicoactivas;52;33,23
Santa Fe;2018;Psicoactivas;29;27,89
San Cristóbal;2018;Psicoactivas;50;12,97
Usme;2018;Psicoactivas;25;6,88
Tunjuelito;2018;Psicoactivas;15;8,74
Bosa;2018;Psicoactivas;51;7,34
Kennedy;2018;Psicoactivas;136;13,34
Fontibón;2018;Psicoactivas;65;17,77
Engativá;2018;Psicoactivas;135;17,03
Suba;2018;Psicoactivas;276;23,95
Barrios Unidos;2018;Psicoactivas;29;21,78
Teusaquillo;2018;Psicoactivas;54;37,36
Los Mártires;2018;Psicoactivas;13;17,74
Antonio Nariño;2018;Psicoactivas;23;29,03
Puente Aranda;2018;Psicoactivas;32;13,17
Candelaria;2018;Psicoactivas;3;17,57
Rafael Uribe Uribe;2018;Psicoactivas;41;11,25
Ciudad Bolívar;2018;Psicoactivas;61;9,95
Sumapaz;2018;Psicoactivas;0;0
Distrito;2018;Psicoactivas;1.239;16,71
Usaquén;2018;Otras sustancias químicas;32;5,97
Chapinero;2018;Otras sustancias químicas;57;36,43
Santa Fe;2018;Otras sustancias químicas;5;4,81
San Cristóbal;2018;Otras sustancias químicas;24;6,23
Usme;2018;Otras sustancias químicas;13;3,58
Tunjuelito;2018;Otras sustancias químicas;21;12,24
Bosa;2018;Otras sustancias químicas;30;4,32
Kennedy;2018;Otras sustancias químicas;46;4,51
Fontibón;2018;Otras sustancias químicas;26;7,11
Engativá;2018;Otras sustancias químicas;38;4,79
Suba;2018;Otras sustancias químicas;60;5,21
Barrios Unidos;2018;Otras sustancias químicas;10;7,51
Teusaquillo;2018;Otras sustancias químicas;6;4,15
Los Mártires;2018;Otras sustancias químicas;7;9,55
Antonio Nariño;2018;Otras sustancias químicas;6;7,57
Puente Aranda;2018;Otras sustancias químicas;10;4,12
Candelaria;2018;Otras sustancias químicas;14;81,99
Rafael Uribe Uribe;2018;Otras sustancias químicas;24;6,58
Ciudad Bolívar;2018;Otras sustancias químicas;32;5,22
Sumapaz;2018;Otras sustancias químicas;0;0
Distrito;2018;Otras sustancias químicas;461;6,22
Usaquén;2018;Plaguicidas;4;0,75
Chapinero;2018;Plaguicidas;1;0,64
Santa Fe;2018;Plaguicidas;4;3,85
San Cristóbal;2018;Plaguicidas;10;2,59
Usme;2018;Plaguicidas;13;3,58
Tunjuelito;2018;Plaguicidas;1;0,58
Bosa;2018;Plaguicidas;8;1,15
Kennedy;2018;Plaguicidas;10;0,98
Fontibón;2018;Plaguicidas;6;1,64
Engativá;2018;Plaguicidas;12;1,51
Suba;2018;Plaguicidas;17;1,48
Barrios Unidos;2018;Plaguicidas;2;1,5
Teusaquillo;2018;Plaguicidas;15;10,38
Los Mártires;2018;Plaguicidas;0;0
Antonio Nariño;2018;Plaguicidas;2;2,52
Puente Aranda;2018;Plaguicidas;5;2,06
Candelaria;2018;Plaguicidas;1;5,86
Rafael Uribe Uribe;2018;Plaguicidas;6;1,65
Ciudad Bolívar;2018;Plaguicidas;9;1,47
Sumapaz;2018;Plaguicidas;0;0
Distrito;2018;Plaguicidas;126;1,7
Usaquén;2018;Solventes;10;1,87
Chapinero;2018;Solventes;3;1,92
Santa Fe;2018;Solventes;3;2,89
San Cristóbal;2018;Solventes;8;2,08
Usme;2018;Solventes;4;1,1
Tunjuelito;2018;Solventes;2;1,17
Bosa;2018;Solventes;12;1,73
Kennedy;2018;Solventes;26;2,55
Fontibón;2018;Solventes;7;1,91
Engativá;2018;Solventes;15;1,89
Suba;2018;Solventes;21;1,82
Barrios Unidos;2018;Solventes;1;0,75
Teusaquillo;2018;Solventes;2;1,38
Los Mártires;2018;Solventes;0;0
Antonio Nariño;2018;Solventes;2;2,52
Puente Aranda;2018;Solventes;4;1,65
Candelaria;2018;Solventes;0;0
Rafael Uribe Uribe;2018;Solventes;3;0,82
Ciudad Bolívar;2018;Solventes;9;1,47
Sumapaz;2018;Solventes;1;31,87
Distrito;2018;Solventes;133;1,79
Usaquén;2018;Metales pesados;2;0,37
Chapinero;2018;Metales pesados;0;0
Santa Fe;2018;Metales pesados;0;0
San Cristóbal;2018;Metales pesados;1;0,26
Usme;2018;Metales pesados;2;0,55
Tunjuelito;2018;Metales pesados;0;0
Bosa;2018;Metales pesados;0;0
Kennedy;2018;Metales pesados;2;0,2
Fontibón;2018;Metales pesados;12;3,28
Engativá;2018;Metales pesados;1;0,13
Suba;2018;Metales pesados;1;0,09
Barrios Unidos;2018;Metales pesados;0;0
Teusaquillo;2018;Metales pesados;0;0
Los Mártires;2018;Metales pesados;0;0
Antonio Nariño;2018;Metales pesados;0;0
Puente Aranda;2018;Metales pesados;1;0,41
Candelaria;2018;Metales pesados;0;0
Rafael Uribe Uribe;2018;Metales pesados;0;0
Ciudad Bolívar;2018;Metales pesados;0;0
Sumapaz;2018;Metales pesados;0;0
Distrito;2018;Metales pesados;22;0,3
Usaquén;2018;Gases;20;3,73
Chapinero;2018;Gases;16;10,23
Santa Fe;2018;Gases;21;20,2
San Cristóbal;2018;Gases;15;3,89
Usme;2018;Gases;8;2,2
Tunjuelito;2018;Gases;5;2,91
Bosa;2018;Gases;46;6,62
Kennedy;2018;Gases;36;3,53
Fontibón;2018;Gases;7;1,91
Engativá;2018;Gases;33;4,16
Suba;2018;Gases;24;2,08
Barrios Unidos;2018;Gases;2;1,5
Teusaquillo;2018;Gases;10;6,92
Los Mártires;2018;Gases;2;2,73
Antonio Nariño;2018;Gases;9;11,36
Puente Aranda;2018;Gases;13;5,35
Candelaria;2018;Gases;4;23,43
Rafael Uribe Uribe;2018;Gases;20;5,49
Ciudad Bolívar;2018;Gases;14;2,28
Sumapaz;2018;Gases;0;0
Distrito;2018;Gases;305;4,11
Usaquén;2018;Metanol;1;0,19
Chapinero;2018;Metanol;1;0,64
Santa Fe;2018;Metanol;0;0
