Área;Año;Sustancia;Casos;Tasa_ajustada
San Cristóbal;2018;Metanol;0;0
Usme;2018;Metanol;0;0
Tunjuelito;2018;Metanol;0;0
Bosa;2018;Metanol;2;0,29
Kennedy;2018;Metanol;1;0,1
Fontibón;2018;Metanol;0;0
Engativá;2018;Metanol;3;0,38
Suba;2018;Metanol;5;0,43
Barrios Unidos;2018;Metanol;0;0
Teusaquillo;2018;Metanol;0;0
Los Mártires;2018;Metanol;0;0
Antonio Nariño;2018;Metanol;0;0
Puente Aranda;2018;Metanol;0;0
Candelaria;2018;Metanol;0;0
Rafael Uribe Uribe;2018;Metanol;0;0
Ciudad Bolívar;2018;Metanol;1;0,16
Sumapaz;2018;Metanol;0;0
Distrito;2018;Metanol;14;0,19
Usaquén;2018;Todas las sustancias;310;57,87
Chapinero;2018;Todas las sustancias;174;111,2
Santa Fe;2018;Todas las sustancias;75;72,13
San Cristóbal;2018;Todas las sustancias;151;39,17
Usme;2018;Todas las sustancias;91;25,04
Tunjuelito;2018;Todas las sustancias;57;33,21
Bosa;2018;Todas las sustancias;199;28,66
Kennedy;2018;Todas las sustancias;27;2,65
Fontibón;2018;Todas las sustancias;368;100,58
Engativá;2018;Todas las sustancias;176;22,21
Suba;2018;Todas las sustancias;592;51,37
Barrios Unidos;2018;Todas las sustancias;61;45,82
Teusaquillo;2018;Todas las sustancias;121;83,72
Los Mártires;2018;Todas las sustancias;33;45,03
Antonio Nariño;2018;Todas las sustancias;54;68,16
Puente Aranda;2018;Todas las sustancias;108;44,46
Candelaria;2018;Todas las sustancias;162;948,76
Rafael Uribe Uribe;2018;Todas las sustancias;139;38,13
Ciudad Bolívar;2018;Todas las sustancias;343;55,94
Sumapaz;2018;Todas las sustancias;1;31,87
Distrito;2018;Todas las sustancias;3.242;43,74
Usaquén;2019;Medicamentos;58;10,53
Chapinero;2019;Medicamentos;27;16,55
Santa Fe;2019;Medicamentos;11;10,38
San Cristóbal;2019;Medicamentos;36;9,18
Usme;2019;Medicamentos;38;10,14
Tunjuelito;2019;Medicamentos;9;5,13
Bosa;2019;Medicamentos;56;7,92
Kennedy;2019;Medicamentos;123;11,97
Fontibón;2019;Medicamentos;32;8,49
Engativá;2019;Medicamentos;107;13,33
Suba;2019;Medicamentos;162;13,58
Barrios Unidos;2019;Medicamentos;22;15,91
Teusaquillo;2019;Medicamentos;15;9,84
Los Mártires;2019;Medicamentos;8;9,64
Antonio Nariño;2019;Medicamentos;6;7,49
Puente Aranda;2019;Medicamentos;34;13,75
Candelaria;2019;Medicamentos;2;11,53
Rafael Uribe Uribe;2019;Medicamentos;33;8,85
Ciudad Bolívar;2019;Medicamentos;41;6,52
Sumapaz;2019;Medicamentos;0;0
Distrito;2019;Medicamentos;820;10,8
Usaquén;2019;Psicoactivas;162;29,42
Chapinero;2019;Psicoactivas;70;42,91
Santa Fe;2019;Psicoactivas;37;34,93
San Cristóbal;2019;Psicoactivas;81;20,65
Usme;2019;Psicoactivas;51;13,6
Tunjuelito;2019;Psicoactivas;20;11,4
Bosa;2019;Psicoactivas;70;9,9
Kennedy;2019;Psicoactivas;189;18,4
Fontibón;2019;Psicoactivas;74;19,62
Engativá;2019;Psicoactivas;150;18,69
Suba;2019;Psicoactivas;313;26,24
Barrios Unidos;2019;Psicoactivas;52;37,6
Teusaquillo;2019;Psicoactivas;62;40,68
Los Mártires;2019;Psicoactivas;24;28,93
Antonio Nariño;2019;Psicoactivas;27;33,71
Puente Aranda;2019;Psicoactivas;70;28,31
Candelaria;2019;Psicoactivas;4;23,06
Rafael Uribe Uribe;2019;Psicoactivas;48;12,87
Ciudad Bolívar;2019;Psicoactivas;89;14,16
Sumapaz;2019;Psicoactivas;0;0
Distrito;2019;Psicoactivas;1.593;20,98
Usaquén;2019;Otras sustancias químicas;18;3,27
Chapinero;2019;Otras sustancias químicas;4;2,45
Santa Fe;2019;Otras sustancias químicas;10;9,44
San Cristóbal;2019;Otras sustancias químicas;11;2,8
Usme;2019;Otras sustancias químicas;20;5,33
Tunjuelito;2019;Otras sustancias químicas;7;3,99
Bosa;2019;Otras sustancias químicas;20;2,83
Kennedy;2019;Otras sustancias químicas;36;3,5
Fontibón;2019;Otras sustancias químicas;16;4,24
Engativá;2019;Otras sustancias químicas;41;5,11
Suba;2019;Otras sustancias químicas;67;5,62
Barrios Unidos;2019;Otras sustancias químicas;3;2,17
Teusaquillo;2019;Otras sustancias químicas;5;3,28
Los Mártires;2019;Otras sustancias químicas;9;10,85
Antonio Nariño;2019;Otras sustancias químicas;8;9,99
Puente Aranda;2019;Otras sustancias químicas;15;6,07
Candelaria;2019;Otras sustancias químicas;0;0
Rafael Uribe Uribe;2019;Otras sustancias químicas;23;6,17
Ciudad Bolívar;2019;Otras sustancias químicas;37;5,89
Sumapaz;2019;Otras sustancias químicas;0;0
Distrito;2019;Otras sustancias químicas;350;4,61
Usaquén;2019;Plaguicidas;5;0,91
Chapinero;2019;Plaguicidas;1;0,61
Santa Fe;2019;Plaguicidas;1;0,94
San Cristóbal;2019;Plaguicidas;2;0,51
Usme;2019;Plaguicidas;5;1,33
Tunjuelito;2019;Plaguicidas;0;0
Bosa;2019;Plaguicidas;4;0,57
Kennedy;2019;Plaguicidas;11;1,07
Fontibón;2019;Plaguicidas;13;3,45
Engativá;2019;Plaguicidas;15;1,87
Suba;2019;Plaguicidas;20;1,68
Barrios Unidos;2019;Plaguicidas;3;2,17
Teusaquillo;2019;Plaguicidas;5;3,28
Los Mártires;2019;Plaguicidas;3;3,62
Antonio Nariño;2019;Plaguicidas;2;2,5
Puente Aranda;2019;Plaguicidas;1;0,4
Candelaria;2019;Plaguicidas;0;0
Rafael Uribe Uribe;2019;Plaguicidas;8;2,14
Ciudad Bolívar;2019;Plaguicidas;10;1,59
Sumapaz;2019;Plaguicidas;0;0
Distrito;2019;Plaguicidas;109;1,44
Usaquén;2019;Solventes;7;1,27
Chapinero;2019;Solventes;1;0,61
Santa Fe;2019;Solventes;4;3,78
San Cristóbal;2019;Solventes;10;2,55
Usme;2019;Solventes;10;2,67
Tunjuelito;2019;Solventes;6;3,42
Bosa;2019;Solventes;13;1,84
Kennedy;2019;Solventes;19;1,85
Fontibón;2019;Solventes;7;1,86
Engativá;2019;Solventes;13;1,62
Suba;2019;Solventes;17;1,43
Barrios Unidos;2019;Solventes;4;2,89
Teusaquillo;2019;Solventes;2;1,31
Los Mártires;2019;Solventes;9;10,85
Antonio Nariño;2019;Solventes;3;3,75
Puente Aranda;2019;Solventes;2;0,81
Candelaria;2019;Solventes;1;5,77
Rafael Uribe Uribe;2019;Solventes;7;1,88
Ciudad Bolívar;2019;Solventes;10;1,59
Sumapaz;2019;Solventes;0;0
Distrito;2019;Solventes;145;1,91
Usaquén;2019;Metales pesados;0;0
Chapinero;2019;Metales pesados;1;0,61
Santa Fe;2019;Metales pesados;0;0
San Cristóbal;2019;Metales pesados;0;0
Usme;2019;Metales pesados;0;0
Tunjuelito;2019;Metales pesados;0;0
Bosa;2019;Metales pesados;0;0
Kennedy;2019;Metales pesados;0;0
Fontibón;2019;Metales pesados;2;0,53
Engativá;2019;Metales pesados;0;0
Suba;2019;Metales pesados;0;0
Barrios Unidos;2019;Metales pesados;1;0,72
Teusaquillo;2019;Metales pesados;0;0
Los Mártires;2019;Metales pesados;0;0
Antonio Nariño;2019;Metales pesados;0;0
Puente Aranda;2019;Metales pesados;0;0
Candelaria;2019;Metales pesados;0;0
Rafael Uribe Uribe;2019;Metales pesados;0;0
Ciudad Bolívar;2019;Metales pesados;0;0
Sumapaz;2019;Metales pesados;0;0
Distrito;2019;Metales pesados;4;0,05
Usaquén;2019;Gases;10;1,82
Chapinero;2019;Gases;4;2,45
Santa Fe;2019;Gases;3;2,83
San Cristóbal;2019;Gases;16;4,08
Usme;2019;Gases;4;1,07
Tunjuelito;2019;Gases;5;2,85
Bosa;2019;Gases;16;2,26
Kennedy;2019;Gases;21;2,04
Fontibón;2019;Gases;31;8,22
Engativá;2019;Gases;28;3,49
Suba;2019;Gases;41;3,44
Barrios Unidos;2019;Gases;3;2,17
Teusaquillo;2019;Gases;12;7,87
Los Mártires;2019;Gases;2;2,41
Antonio Nariño;2019;Gases;2;2,5
Puente Aranda;2019;Gases;14;5,66
Candelaria;2019;Gases;0;0
Rafael Uribe Uribe;2019;Gases;8;2,14
Ciudad Bolívar;2019;Gases;18;2,86
Sumapaz;2019;Gases;0;0
Distrito;2019;Gases;238;3,13
Usaquén;2019;Metanol;0;0
Chapinero;2019;Metanol;1;0,61
Santa Fe;2019;Metanol;1;0,94
San Cristóbal;2019;Metanol;1;0,25
Usme;2019;Metanol;3;0,8
Tunjuelito;2019;Metanol;0;0
Bosa;2019;Metanol;0;0
Kennedy;2019;Metanol;0;0
Fontibón;2019;Metanol;0;0
Engativá;2019;Metanol;0;0
Suba;2019;Metanol;3;0,25
Barrios Unidos;2019;Metanol;0;0
Teusaquillo;2019;Metanol;0;0
Los Mártires;2019;Metanol;1;1,21
Antonio Nariño;2019;Metanol;0;0
Puente Aranda;2019;Metanol;0;0
Candelaria;2019;Metanol;0;0
Rafael Uribe Uribe;2019;Metanol;1;0,27
Ciudad Bolívar;2019;Metanol;1;0,16
Sumapaz;2019;Metanol;0;0
Distrito;2019;Metanol;12;0,16
Usaquén;2019;Desconocida;70;12,71
Chapinero;2019;Desconocida;31;19
Santa Fe;2019;Desconocida;9;8,5
San Cristóbal;2019;Desconocida;33;8,41
Usme;2019;Desconocida;28;7,47
Tunjuelito;2019;Desconocida;10;5,7
Bosa;2019;Desconocida;37;5,23
Kennedy;2019;Desconocida;74;7,2
Fontibón;2019;Desconocida;21;5,57
Engativá;2019;Desconocida;47;5,85
Suba;2019;Desconocida;97;8,13
Barrios Unidos;2019;Desconocida;15;10,84
Teusaquillo;2019;Desconocida;24;15,75
Los Mártires;2019;Desconocida;11;13,26
Antonio Nariño;2019;Desconocida;15;18,73
Puente Aranda;2019;Desconocida;26;10,52
Candelaria;2019;Desconocida;3;17,3
Rafael Uribe Uribe;2019;Desconocida;20;5,36
Ciudad Bolívar;2019;Desconocida;37;5,89
Sumapaz;2019;Desconocida;0;0
Distrito;2019;Desconocida;608;8,01
Usaquén;2019;Todas las sustancias;260;47,21
Chapinero;2019;Todas las sustancias;206;126,27
Santa Fe;2019;Todas las sustancias;67;63,25
San Cristóbal;2019;Todas las sustancias;157;40,02
Usme;2019;Todas las sustancias;131;34,94
Tunjuelito;2019;Todas las sustancias;47;26,78
Bosa;2019;Todas las sustancias;179;25,31
Kennedy;2019;Todas las sustancias;7;0,68
Fontibón;2019;Todas las sustancias;399;105,8
Engativá;2019;Todas las sustancias;175;21,8
Suba;2019;Todas las sustancias;623;52,24
Barrios Unidos;2019;Todas las sustancias;88;63,62
Teusaquillo;2019;Todas las sustancias;101;66,27
Los Mártires;2019;Todas las sustancias;56;67,5
Antonio Nariño;2019;Todas las sustancias;48;59,93
Puente Aranda;2019;Todas las sustancias;136;55,01
Candelaria;2019;Todas las sustancias;109;628,42
Rafael Uribe Uribe;2019;Todas las sustancias;128;34,32
Ciudad Bolívar;2019;Todas las sustancias;354;56,31
Sumapaz;2019;Todas las sustancias;0;0
Distrito;2019;Todas las sustancias;3.271;43,08
Usaquén;2020;Medicamentos;65;11,51
Chapinero;2020;Medicamentos;19;11,19
Santa Fe;2020;Medicamentos;9;8,38
San Cristóbal;2020;Medicamentos;29;7,3
Usme;2020;Medicamentos;31;8,05
Tunjuelito;2020;Medicamentos;13;7,28
Bosa;2020;Medicamentos;46;6,41
Kennedy;2020;Medicamentos;83;8,02
Fontibón;2020;Medicamentos;23;5,95
Engativá;2020;Medicamentos;72;8,87
Suba;2020;Medicamentos;123;10,02
Barrios Unidos;2020;Medicamentos;20;13,96
Teusaquillo;2020;Medicamentos;20;12,41
Los Mártires;2020;Medicamentos;8;9,57
Antonio Nariño;2020;Medicamentos;8;9,82
Puente Aranda;2020;Medicamentos;16;6,38
Candelaria;2020;Medicamentos;4;22,71
Rafael Uribe Uribe;2020;Medicamentos;39;10,26
Ciudad Bolívar;2020;Medicamentos;49;7,64
Sumapaz;2020;Medicamentos;0;0
Distrito;2020;Medicamentos;677;8,74
Usaquén;2020;Psicoactivas;92;16,3
Chapinero;2020;Psicoactivas;22;12,96
Santa Fe;2020;Psicoactivas;7;6,51
San Cristóbal;2020;Psicoactivas;21;5,28
Usme;2020;Psicoactivas;24;6,23
Tunjuelito;2020;Psicoactivas;14;7,84
Bosa;2020;Psicoactivas;21;2,93
Kennedy;2020;Psicoactivas;98;9,47
Fontibón;2020;Psicoactivas;23;5,95
Engativá;2020;Psicoactivas;66;8,13
Suba;2020;Psicoactivas;115;9,37
Barrios Unidos;2020;Psicoactivas;11;7,68
Teusaquillo;2020;Psicoactivas;13;8,06
Los Mártires;2020;Psicoactivas;12;14,36
Antonio Nariño;2020;Psicoactivas;4;4,91
Puente Aranda;2020;Psicoactivas;17;6,77
Candelaria;2020;Psicoactivas;1;5,68
Rafael Uribe Uribe;2020;Psicoactivas;16;4,21
Ciudad Bolívar;2020;Psicoactivas;27;4,21
Sumapaz;2020;Psicoactivas;0;0
Distrito;2020;Psicoactivas;604;7,8
Usaquén;2020;Otras sustancias químicas;16;2,83
Chapinero;2020;Otras sustancias químicas;8;4,71
Santa Fe;2020;Otras sustancias químicas;3;2,79
San Cristóbal;2020;Otras sustancias químicas;20;5,03
Usme;2020;Otras sustancias químicas;24;6,23
Tunjuelito;2020;Otras sustancias químicas;8;4,48
Bosa;2020;Otras sustancias químicas;23;3,2
Kennedy;2020;Otras sustancias químicas;38;3,67
Fontibón;2020;Otras sustancias químicas;21;5,43
Engativá;2020;Otras sustancias químicas;22;2,71
Suba;2020;Otras sustancias químicas;46;3,75
Barrios Unidos;2020;Otras sustancias químicas;4;2,79
Teusaquillo;2020;Otras sustancias químicas;2;1,24
Los Mártires;2020;Otras sustancias químicas;2;2,39
Antonio Nariño;2020;Otras sustancias químicas;4;4,91
Puente Aranda;2020;Otras sustancias químicas;0;0
Candelaria;2020;Otras sustancias químicas;0;0
Rafael Uribe Uribe;2020;Otras sustancias químicas;17;4,47
Ciudad Bolívar;2020;Otras sustancias químicas;23;3,59
Sumapaz;2020;Otras sustancias químicas;1;28,99
Distrito;2020;Otras sustancias químicas;282;3,64
Usaquén;2020;Plaguicidas;1;0,18
Chapinero;2020;Plaguicidas;3;1,77
Santa Fe;2020;Plaguicidas;2;1,86
San Cristóbal;2020;Plaguicidas;1;0,25
Usme;2020;Plaguicidas;1;0,26
Tunjuelito;2020;Plaguicidas;1;0,56
Bosa;2020;Plaguicidas;5;0,7
Kennedy;2020;Plaguicidas;8;0,77
Fontibón;2020;Plaguicidas;2;0,52
Engativá;2020;Plaguicidas;4;0,49
Suba;2020;Plaguicidas;5;0,41
Barrios Unidos;2020;Plaguicidas;1;0,7
Teusaquillo;2020;Plaguicidas;1;0,62
Los Mártires;2020;Plaguicidas;2;2,39
Antonio Nariño;2020;Plaguicidas;3;3,68
Puente Aranda;2020;Plaguicidas;1;0,4
Candelaria;2020;Plaguicidas;0;0
Rafael Uribe Uribe;2020;Plaguicidas;3;0,79
Ciudad Bolívar;2020;Plaguicidas;7;1,09
Sumapaz;2020;Plaguicidas;1;28,99
Distrito;2020;Plaguicidas;52;0,67
Usaquén;2020;Solventes;2;0,35
Chapinero;2020;Solventes;11;6,48
Santa Fe;2020;Solventes;3;2,79
San Cristóbal;2020;Solventes;8;2,01
Usme;2020;Solventes;5;1,3
Tunjuelito;2020;Solventes;2;1,12
Bosa;2020;Solventes;4;0,56
Kennedy;2020;Solventes;7;0,68
Fontibón;2020;Solventes;6;1,55
Engativá;2020;Solventes;6;0,74
Suba;2020;Solventes;10;0,81
Barrios Unidos;2020;Solventes;3;2,09
Teusaquillo;2020;Solventes;2;1,24
Los Mártires;2020;Solventes;0;0
Antonio Nariño;2020;Solventes;1;1,23
Puente Aranda;2020;Solventes;1;0,4
Candelaria;2020;Solventes;1;5,68
Rafael Uribe Uribe;2020;Solventes;6;1,58
Ciudad Bolívar;2020;Solventes;8;1,25
Sumapaz;2020;Solventes;0;0
Distrito;2020;Solventes;86;1,11
Usaquén;2020;Metales pesados;0;0
Chapinero;2020;Metales pesados;0;0
Santa Fe;2020;Metales pesados;0;0
San Cristóbal;2020;Metales pesados;0;0
Usme;2020;Metales pesados;1;0,26
Tunjuelito;2020;Metales pesados;0;0
Bosa;2020;Metales pesados;0;0
Kennedy;2020;Metales pesados;1;0,1
Fontibón;2020;Metales pesados;1;0,26
Engativá;2020;Metales pesados;0;0
Suba;2020;Metales pesados;0;0
Barrios Unidos;2020;Metales pesados;0;0
Teusaquillo;2020;Metales pesados;0;0
Los Mártires;2020;Metales pesados;0;0
Antonio Nariño;2020;Metales pesados;0;0
Puente Aranda;2020;Metales pesados;0;0
Candelaria;2020;Metales pesados;0;0
Rafael Uribe Uribe;2020;Metales pesados;0;0
Ciudad Bolívar;2020;Metales pesados;0;0
Sumapaz;2020;Metales pesados;0;0
Distrito;2020;Metales pesados;3;0,04
Usaquén;2020;Gases;2;0,35
Chapinero;2020;Gases;1;0,59
Santa Fe;2020;Gases;0;0
San Cristóbal;2020;Gases;6;1,51
Usme;2020;Gases;4;1,04
Tunjuelito;2020;Gases;2;1,12
Bosa;2020;Gases;8;1,11
Kennedy;2020;Gases;17;1,64
Fontibón;2020;Gases;2;0,52
Engativá;2020;Gases;9;1,11
Suba;2020;Gases;6;0,49
Barrios Unidos;2020;Gases;0;0
Teusaquillo;2020;Gases;0;0
Los Mártires;2020;Gases;1;1,2
Antonio Nariño;2020;Gases;1;1,23
Puente Aranda;2020;Gases;1;0,4
Candelaria;2020;Gases;0;0
Rafael Uribe Uribe;2020;Gases;5;1,32
Ciudad Bolívar;2020;Gases;5;0,78
Sumapaz;2020;Gases;0;0
Distrito;2020;Gases;70;0,9
Usaquén;2020;Metanol;1;0,18
Chapinero;2020;Metanol;0;0
Santa Fe;2020;Metanol;3;2,79
San Cristóbal;2020;Metanol;0;0
Usme;2020;Metanol;3;0,78
Tunjuelito;2020;Metanol;0;0
Bosa;2020;Metanol;0;0
Kennedy;2020;Metanol;2;0,19
Fontibón;2020;Metanol;0;0
Engativá;2020;Metanol;0;0
Suba;2020;Metanol;4;0,33
Barrios Unidos;2020;Metanol;1;0,7
Teusaquillo;2020;Metanol;0;0
Los Mártires;2020;Metanol;1;1,2
Antonio Nariño;2020;Metanol;0;0
Puente Aranda;2020;Metanol;1;0,4
Candelaria;2020;Metanol;0;0
Rafael Uribe Uribe;2020;Metanol;1;0,26
Ciudad Bolívar;2020;Metanol;1;0,16
Sumapaz;2020;Metanol;0;0
Distrito;2020;Metanol;18;0,23
Usaquén;2020;Desconocida;41;7,26
Chapinero;2020;Desconocida;16;9,42
Santa Fe;2020;Desconocida;6;5,58
San Cristóbal;2020;Desconocida;17;4,28
Usme;2020;Desconocida;19;4,94
Tunjuelito;2020;Desconocida;8;4,48
Bosa;2020;Desconocida;23;3,2
Kennedy;2020;Desconocida;37;3,58
Fontibón;2020;Desconocida;13;3,36
Engativá;2020;Desconocida;18;2,22
Suba;2020;Desconocida;44;3,58
Barrios Unidos;2020;Desconocida;8;5,58
Teusaquillo;2020;Desconocida;15;9,3
Los Mártires;2020;Desconocida;6;7,18
Antonio Nariño;2020;Desconocida;7;8,59
Puente Aranda;2020;Desconocida;16;6,38
Candelaria;2020;Desconocida;1;5,68
Rafael Uribe Uribe;2020;Desconocida;22;5,79
Ciudad Bolívar;2020;Desconocida;20;3,12
Sumapaz;2020;Desconocida;0;0
Distrito;2020;Desconocida;337;4,35
Usaquén;2020;Todas las sustancias;220;38,97
Chapinero;2020;Todas las sustancias;140;82,46
Santa Fe;2020;Todas las sustancias;33;30,71
San Cristóbal;2020;Todas las sustancias;102;25,67
Usme;2020;Todas las sustancias;112;29,1
Tunjuelito;2020;Todas las sustancias;48;26,87
Bosa;2020;Todas las sustancias;130;18,11
Kennedy;2020;Todas las sustancias;7;0,68
Fontibón;2020;Todas las sustancias;291;75,22
Engativá;2020;Todas las sustancias;91;11,21
Suba;2020;Todas las sustancias;353;28,75
Barrios Unidos;2020;Todas las sustancias;48;33,5
Teusaquillo;2020;Todas las sustancias;53;32,87
Los Mártires;2020;Todas las sustancias;32;38,28
Antonio Nariño;2020;Todas las sustancias;28;34,37
Puente Aranda;2020;Todas las sustancias;53;21,12
Candelaria;2020;Todas las sustancias;80;454,26
Rafael Uribe Uribe;2020;Todas las sustancias;109;28,68
Ciudad Bolívar;2020;Todas las sustancias;197;30,72
Sumapaz;2020;Todas las sustancias;2;57,99
Distrito;2020;Todas las sustancias;2.129;27,49
Usaquén;2021;Medicamentos;78;13,65
Chapinero;2021;Medicamentos;29;16,73
Santa Fe;2021;Medicamentos;12;11,13
San Cristóbal;2021;Medicamentos;37;9,23
Usme;2021;Medicamentos;40;10,17
Tunjuelito;2021;Medicamentos;20;11,1
Bosa;2021;Medicamentos;51;7,05
Kennedy;2021;Medicamentos;114;11,02
Fontibón;2021;Medicamentos;41;10,42
Engativá;2021;Medicamentos;122;14,99
Suba;2021;Medicamentos;140;11,18
Barrios Unidos;2021;Medicamentos;17;11,57
Teusaquillo;2021;Medicamentos;19;11,32
Los Mártires;2021;Medicamentos;9;10,79
Antonio Nariño;2021;Medicamentos;6;7,3
Puente Aranda;2021;Medicamentos;30;11,84
Candelaria;2021;Medicamentos;2;11,19
Rafael Uribe Uribe;2021;Medicamentos;44;11,46
Ciudad Bolívar;2021;Medicamentos;65;10
Sumapaz;2021;Medicamentos;0;0
Distrito;2021;Medicamentos;876;11,18
Usaquén;2021;Psicoactivas;128;22,41
Chapinero;2021;Psicoactivas;39;22,5
Santa Fe;2021;Psicoactivas;12;11,13
San Cristóbal;2021;Psicoactivas;27;6,73
Usme;2021;Psicoactivas;17;4,32
Tunjuelito;2021;Psicoactivas;21;11,66
Bosa;2021;Psicoactivas;34;4,7
Kennedy;2021;Psicoactivas;98;9,47
Fontibón;2021;Psicoactivas;38;9,66
Engativá;2021;Psicoactivas;72;8,84
Suba;2021;Psicoactivas;183;14,61
Barrios Unidos;2021;Psicoactivas;17;11,57
Teusaquillo;2021;Psicoactivas;31;18,47
Los Mártires;2021;Psicoactivas;14;16,78
Antonio Nariño;2021;Psicoactivas;10;12,17
Puente Aranda;2021;Psicoactivas;18;7,1
Candelaria;2021;Psicoactivas;5;27,97
Rafael Uribe Uribe;2021;Psicoactivas;34;8,86
Ciudad Bolívar;2021;Psicoactivas;61;9,39
Sumapaz;2021;Psicoactivas;0;0
Distrito;2021;Psicoactivas;859;10,96
Usaquén;2021;Otras sustancias químicas;41;7,18
Chapinero;2021;Otras sustancias químicas;11;6,35
Santa Fe;2021;Otras sustancias químicas;13;12,06
San Cristóbal;2021;Otras sustancias químicas;25;6,23
Usme;2021;Otras sustancias químicas;34;8,64
Tunjuelito;2021;Otras sustancias químicas;16;8,88
Bosa;2021;Otras sustancias químicas;27;3,73
Kennedy;2021;Otras sustancias químicas;54;5,22
Fontibón;2021;Otras sustancias químicas;20;5,08
Engativá;2021;Otras sustancias químicas;48;5,9
Suba;2021;Otras sustancias químicas;62;4,95
Barrios Unidos;2021;Otras sustancias químicas;8;5,45
Teusaquillo;2021;Otras sustancias químicas;14;8,34
Los Mártires;2021;Otras sustancias químicas;9;10,79
Antonio Nariño;2021;Otras sustancias químicas;13;15,81
Puente Aranda;2021;Otras sustancias químicas;17;6,71
Candelaria;2021;Otras sustancias químicas;1;5,59
Rafael Uribe Uribe;2021;Otras sustancias químicas;14;3,65
Ciudad Bolívar;2021;Otras sustancias químicas;46;7,08
Sumapaz;2021;Otras sustancias químicas;0;0
Distrito;2021;Otras sustancias químicas;473;6,04
Usaquén;2021;Plaguicidas;2;0,35
Chapinero;2021;Plaguicidas;1;0,58
Santa Fe;2021;Plaguicidas;1;0,93
San Cristóbal;2021;Plaguicidas;3;0,75
Usme;2021;Plaguicidas;2;0,51
Tunjuelito;2021;Plaguicidas;2;1,11
Bosa;2021;Plaguicidas;3;0,41
Kennedy;2021;Plaguicidas;13;1,26
Fontibón;2021;Plaguicidas;1;0,25
Engativá;2021;Plaguicidas;6;0,74
Suba;2021;Plaguicidas;10;0,8
Barrios Unidos;2021;Plaguicidas;1;0,68
Teusaquillo;2021;Plaguicidas;0;0
Los Mártires;2021;Plaguicidas;1;1,2
Antonio Nariño;2021;Plaguicidas;1;1,22
Puente Aranda;2021;Plaguicidas;1;0,39
Candelaria;2021;Plaguicidas;0;0
Rafael Uribe Uribe;2021;Plaguicidas;0;0
Ciudad Bolívar;2021;Plaguicidas;8;1,23
Sumapaz;2021;Plaguicidas;0;0
Distrito;2021;Plaguicidas;56;0,71
Usaquén;2021;Solventes;5;0,88
Chapinero;2021;Solventes;1;0,58
Santa Fe;2021;Solventes;2;1,86
San Cristóbal;2021;Solventes;5;1,25
Usme;2021;Solventes;6;1,53
Tunjuelito;2021;Solventes;9;5
Bosa;2021;Solventes;4;0,55
Kennedy;2021;Solventes;15;1,45
Fontibón;2021;Solventes;4;1,02
